"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"RS_PART_NUMBER";"RS_PRICE-STOCK";
"R8";"1k";"R-EU_R0603_5MIL_DWS";"R0603_5MIL_DWS";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R10";"470";"R-EU_R0603_5MIL_DWS";"R0603_5MIL_DWS";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R18";"470";"R-EU_R0603_5MIL_DWS";"R0603_5MIL_DWS";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R19";"470";"R-EU_R0603_5MIL_DWS";"R0603_5MIL_DWS";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R20";"1k";"R-EU_R0402_TI";"R0402_TI";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R21";"1k";"R-EU_R0402_TI";"R0402_TI";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R26";"1k";"R-EU_R0603_5MIL_DWS";"R0603_5MIL_DWS";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R30";"1k";"R-EU_R0603_5MIL_DWS";"R0603_5MIL_DWS";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R32";"47k";"R-EU_R0603_5MIL_DWS";"R0603_5MIL_DWS";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R33";"NA";"R-EU_R0603_5MIL_DWS";"R0603_5MIL_DWS";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R34";"NA";"R-EU_R0603_5MIL_DWS";"R0603_5MIL_DWS";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R36";"NA";"R-EU_R0603_5MIL_DWS";"R0603_5MIL_DWS";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R54";"47k";"R-EU_R0603_5MIL_DWS";"R0603_5MIL_DWS";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R77";"12k";"R-EU_R0402_TI";"R0402_TI";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R80";"200R";"R-EU_R0402_TI";"R0402_TI";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"RESET";"T1107A(6X3,8X2,5MM)";"SW-TAKTT1107A(6X3,8X2,5MM)";"WS-TAKT_6X3.5_SMD_NOCREAM";"";"";"";"";"";"";"";"";"";"";"";
"RM3";"NA(10k)";"R_MATRIX_4E";"R_MATRIX_4";"";"";"";"";"";"";"";"";"";"";"";
"RM5";"RA1206_(4X0603)_4B8_10k";"R_MATRIX_4E";"R_MATRIX_4";"";"";"";"";"";"";"";"";"";"";"";
"SERIAL";"";"CONN_06LONGPADS";"1X06_LONGPADS";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";
"U$1";"25X48MM_NFC_ANTENNA";"25X48MM_NFC_ANTENNA";"25X48MM_NFC_ANTENNA";"25x48 mm NFC loop antenna, L = 2,75 µH";"";"";"";"";"";"";"";"";"";"";
"U1";"STM32F407ZET6";"STM32F207ZET6";"LQFP144";"STM32F207ZE";"";"";"";"";"";"";"";"";"";"";
"U2";"NA";"RESETMCP130T-300-I/TT";"SOT23";"Microcontroller Supervisory Circuit";"";"";"";"";"";"";"";"";"";"";
"U14";"ESP8266";"ESP8266";"QFN32_PAD";"";"";"";"";"";"";"";"";"";"";"";
"VCC";"NA(BH20S)";"ML20";"ML20-MALE";"HARTING";"";"";"";"";"";"";"";"";"";"";
"WKUP";"T1107A(6X3,8X2,5MM)";"SW-TAKTT1107A(6X3,8X2,5MM)";"WS-TAKT_6X3.5_SMD_NOCREAM";"";"";"";"";"";"";"";"";"";"";"";
"X1";"Power";"TERMINAL-BLOCK-3.5MM-2-PIN-LONG-PAD";"TERMINAL-BLOCK-2-PIN-3.5MM-LONG-PAD";"Terminal Block 3.5mm";"";"";"";"";"";"";"";"";"";"";
